"KeyCode","KeyDown","KeyUp"
16, 1460190427489, 1460190427678
76, 1460190427535, 1460190427680
65, 1460190427652, 1460190427807
79, 1460190427778, 1460190427904
88, 1460190427881, 1460190428041
32, 1460190428015, 1460190428165
16, 1460190428298, 1460190428506
72, 1460190428396, 1460190428512
65, 1460190428547, 1460190428674
74, 1460190428684, 1460190428800
67, 1460190429143, 1460190429282
32, 1460190429711, 1460190429822
84, 1460190429900, 1460190430039
72, 1460190429987, 1460190430074
79, 1460190430149, 1460190430215
79, 1460190430272, 1460190430475
73, 1460190430327, 1460190430477
83, 1460190430458, 1460190430656
32, 1460190430629, 1460190430735
67, 1460190430779, 1460190430952
65, 1460190430882, 1460190431026
73, 1460190430983, 1460190431115
83, 1460190431090, 1460190431233
32, 1460190431182, 1460190431308
77, 1460190431353, 1460190431456
79, 1460190431533, 1460190431605
79, 1460190431667, 1460190431863
73, 1460190431733, 1460190431875
70, 1460190431838, 1460190432000
32, 1460190432105, 1460190432222
82, 1460190432304, 1460190432476
79, 1460190432452, 1460190432565
87, 1460190432539, 1460190432686
77, 1460190432637, 1460190432734
188, 1460190432867, 1460190432993
32, 1460190432970, 1460190433110
67, 1460190433088, 1460190433222
72, 1460190433199, 1460190433308
65, 1460190433284, 1460190433365
65, 1460190433433, 1460190433540
77, 1460190433461, 1460190433604
32, 1460190433568, 1460190433694
68, 1460190433635, 1460190433736
68, 1460190433793, 1460190433945
79, 1460190433869, 1460190433962
77, 1460190434034, 1460190434141
83, 1460190434109, 1460190434243
190, 1460190434308, 1460190434398
32, 1460190434496, 1460190434583
16, 1460190434528, 1460190434708
84, 1460190434637, 1460190434837
79, 1460190434791, 1460190434879
79, 1460190434998, 1460190435065
73, 1460190435016, 1460190435097
32, 1460190435045, 1460190435162
68, 1460190435126, 1460190435226
68, 1460190435288, 1460190435417
65, 1460190435333, 1460190435458
88, 1460190435526, 1460190435672
32, 1460190435630, 1460190435764
84, 1460190436243, 1460190436410
72, 1460190436358, 1460190436455
79, 1460190436527, 1460190436587
79, 1460190436650, 1460190436796
78, 1460190436713, 1460190436870
71, 1460190436749, 1460190436872
32, 1460190436850, 1460190436989
68, 1460190436975, 1460190437055
68, 1460190437119, 1460190437244
73, 1460190437205, 1460190437358
69, 1460190437325, 1460190437409
69, 1460190437463, 1460190437571
85, 1460190437531, 1460190437663
83, 1460190437685, 1460190437817
32, 1460190437864, 1460190438012
86, 1460190438356, 1460190438461
65, 1460190438552, 1460190438664
70, 1460190438739, 1460190438893
32, 1460190438858, 1460190438997
66, 1460190439551, 1460190439694
79, 1460190439673, 1460190439813
82, 1460190439781, 1460190439903
32, 1460190439877, 1460190440060
84, 1460190439978, 1460190440143
72, 1460190440024, 1460190440149
85, 1460190440082, 1460190440181
79, 1460190440298, 1460190440369
79, 1460190440430, 1460190440568
83, 1460190440468, 1460190440542
67, 1460190440643, 1460190440767
32, 1460190440752, 1460190440948
82, 1460190440847, 1460190440989
79, 1460190440918, 1460190441000
79, 1460190441070, 1460190441230
73, 1460190441132, 1460190441245
70, 1460190441185, 1460190441325
190, 1460190441441, 1460190441517
32, 1460190442273, 1460190442407
16, 1460190442546, 1460190442754
84, 1460190442694, 1460190442867
79, 1460190442842, 1460190442921
79, 1460190443000, 1460190443144
73, 1460190443044, 1460190443158
32, 1460190443201, 1460190443347
77, 1460190443270, 1460190443385
79, 1460190443433, 1460190443565
87, 1460190443486, 1460190443611
73, 1460190443592, 1460190443710
