"KeyCode","KeyDown","KeyUp"
16, 1460192123647, 1460192123959
84, 1460192123877, 1460192124005
82, 1460192124062, 1460192124208
79, 1460192124153, 1460192124298
78, 1460192124273, 1460192124396
71, 1460192124371, 1460192124484
32, 1460192124458, 1460192124536
77, 1460192124561, 1460192124686
79, 1460192124665, 1460192124704
79, 1460192124789, 1460192124869
79, 1460192124947, 1460192125067
74, 1460192125025, 1460192125136
84, 1460192125077, 1460192125195
32, 1460192125215, 1460192125310
67, 1460192125328, 1460192125444
72, 1460192125409, 1460192125519
85, 1460192125503, 1460192125612
89, 1460192125632, 1460192125744
69, 1460192125693, 1460192125766
69, 1460192125833, 1460192125935
78, 1460192125912, 1460192126007
83, 1460192125953, 1460192126100
32, 1460192126083, 1460192126181
68, 1460192126134, 1460192126200
68, 1460192126280, 1460192126370
73, 1460192126335, 1460192126481
32, 1460192126459, 1460192126548
16, 1460192126617, 1460192126770
67, 1460192126711, 1460192126806
65, 1460192126856, 1460192126961
76, 1460192127111, 1460192127185
73, 1460192127280, 1460192127430
32, 1460192127406, 1460192127504
84, 1460192127699, 1460192127834
72, 1460192127814, 1460192127892
65, 1460192127871, 1460192128022
87, 1460192127935, 1460192128071
77, 1460192128051, 1460192128143
32, 1460192128134, 1460192128242
71, 1460192128224, 1460192128354
73, 1460192128331, 1460192128418
65, 1460192128394, 1460192128537
32, 1460192128513, 1460192128618
68, 1460192128601, 1460192128642
68, 1460192128737, 1460192128840
73, 1460192128811, 1460192128907
78, 1460192128927, 1460192129006
72, 1460192129108, 1460192129211
70, 1460192129168, 1460192129266
32, 1460192129295, 1460192129369
84, 1460192129398, 1460192129503
73, 1460192129444, 1460192129574
78, 1460192129555, 1460192129643
72, 1460192129734, 1460192129832
70, 1460192129811, 1460192129900
32, 1460192129910, 1460192130010
67, 1460192130027, 1460192130119
79, 1460192130137, 1460192130243
87, 1460192130221, 1460192130352
70, 1460192130324, 1460192130438
32, 1460192130426, 1460192130511
16, 1460192130520, 1460192130664
72, 1460192130642, 1460192130726
65, 1460192130741, 1460192130850
70, 1460192130826, 1460192130922
32, 1460192130950, 1460192131026
67, 1460192131178, 1460192131292
79, 1460192131270, 1460192131385
83, 1460192131345, 1460192131459
32, 1460192131434, 1460192131564
68, 1460192131542, 1460192131651
73, 1460192131667, 1460192131773
80, 1460192131946, 1460192132031
74, 1460192132095, 1460192132211
32, 1460192132234, 1460192132317
76, 1460192132401, 1460192132512
65, 1460192132489, 1460192132616
77, 1460192132584, 1460192132684
70, 1460192132655, 1460192132767
32, 1460192132739, 1460192132840
81, 1460192132865, 1460192132967
85, 1460192132951, 1460192133064
69, 1460192133044, 1460192133204
78, 1460192133183, 1460192133293
32, 1460192133276, 1460192133386
86, 1460192133353, 1460192133488
79, 1460192133472, 1460192133583
87, 1460192133561, 1460192133640
73, 1460192133670, 1460192133773
83, 1460192133754, 1460192133824
32, 1460192133855, 1460192133953
16, 1460192133909, 1460192134057
84, 1460192134024, 1460192134135
72, 1460192134111, 1460192134203
65, 1460192134228, 1460192134326
79, 1460192134312, 1460192134442
82, 1460192134417, 1460192134544
32, 1460192134526, 1460192134622
86, 1460192134685, 1460192134764
65, 1460192134782, 1460192134913
70, 1460192134863, 1460192134965
32, 1460192134989, 1460192135077
84, 1460192135117, 1460192135263
82, 1460192135179, 1460192135307
85, 1460192135292, 1460192135425
79, 1460192135388, 1460192135514
8, 1460192136095, 1460192136171
8, 1460192136279, 1460192136363
79, 1460192136518, 1460192136621
87, 1460192136588, 1460192136707
82, 1460192136665, 1460192136777
32, 1460192136760, 1460192136840
84, 1460192136871, 1460192136989
72, 1460192136969, 1460192137072
65, 1460192137050, 1460192137185
78, 1460192137165, 1460192137225
70, 1460192137281, 1460192137372
72, 1460192137323, 1460192137431
84, 1460192137490, 1460192137609
32, 1460192137516, 1460192137692
73, 1460192138939, 1460192139022
8, 1460192139500, 1460192139596
84, 1460192139809, 1460192139904
73, 1460192139885, 1460192139999
78, 1460192140027, 1460192140098
72, 1460192140190, 1460192140286
70, 1460192140262, 1460192140371
32, 1460192140352, 1460192140425
78, 1460192140487, 1460192140548
72, 1460192140661, 1460192140737
65, 1460192140702, 1460192140744
65, 1460192140833, 1460192140942
78, 1460192140928, 1460192141011
32, 1460192141070, 1460192141163
67, 1460192141144, 1460192141228
85, 1460192141255, 1460192141352
65, 1460192141330, 1460192141464
82, 1460192141437, 1460192141549
32, 1460192141515, 1460192141608
78, 1460192141798, 1460192141898
65, 1460192141869, 1460192141986
78, 1460192142015, 1460192142118
71, 1460192142078, 1460192142147
70, 1460192142241, 1460192142356
190, 1460192142436, 1460192142536
